ID,TotalAmount,MostRecent,NumberOfPurchases,PurchaseInterval
9828,690,8/18/2005,9,501
9829,1556,8/6/2006,15,148
9830,695,10/19/2006,8,74
9831,504,10/24/2006,8,69
9832,1123,11/11/2006,14,51
9833,2083,7/20/2006,19,165
9834,635,8/13/2005,9,506
9835,1136,10/25/2006,10,68
9836,468,9/6/2005,5,482
9837,1099,10/22/2006,13,71
9838,1091,10/24/2006,11,69
9839,817,12/28/2005,9,369
9840,843,7/29/2006,9,156
9841,794,11/30/2006,7,32
9842,1238,8/13/2006,10,141
9843,1359,6/3/2006,11,212
9844,673,5/31/2006,8,215
9845,800,2/8/2006,11,327
9846,563,11/4/2006,8,58
9847,667,7/29/2006,6,156
9848,860,1/31/2006,8,335
9849,1601,6/15/2006,15,200
9850,1245,10/30/2006,11,63
9851,1255,11/28/2006,16,34
9852,1077,7/5/2006,12,180
9853,1235,6/21/2006,16,194
9854,918,7/5/2006,10,180
9855,741,5/11/2006,8,235
9856,1082,6/30/2006,11,185
9857,699,11/16/2006,9,46
9858,521,12/19/2006,4,13
9859,599,7/15/2005,9,535
9860,648,5/30/2006,8,216
9861,1181,7/5/2006,12,180
9862,1530,7/14/2006,14,171
9863,1182,8/6/2006,12,148
9864,463,8/16/2006,7,138
9865,1193,1/17/2006,11,349
9866,1044,6/3/2006,11,212
9867,602,5/25/2006,6,221
9868,897,8/26/2006,9,128
9869,1465,6/25/2006,11,190
9870,1058,10/11/2005,7,447
9871,1143,7/16/2006,11,169
9872,1603,9/3/2006,12,120
9873,1170,10/27/2006,11,66
9874,678,6/16/2006,6,199
9875,1038,8/4/2006,12,150
9876,1859,10/5/2006,18,88
9877,1257,10/3/2006,13,90
9878,688,10/7/2006,6,86
9879,643,8/2/2006,6,152
9880,773,11/26/2005,9,401
9881,1010,7/20/2006,11,165
9882,608,6/13/2006,7,202
9883,1119,7/12/2006,11,173
9884,882,10/3/2006,10,90
9885,1165,11/5/2006,12,57
9886,1281,8/7/2006,13,147
9887,953,7/11/2006,8,174
9888,919,9/22/2006,12,101
9889,1290,10/8/2006,12,85
9890,946,10/10/2005,8,448
9891,776,12/30/2005,7,367
9892,533,10/21/2005,6,437
9893,1107,6/25/2006,10,190
9894,532,1/30/2006,5,336
9895,830,11/10/2006,8,52
9896,525,11/17/2006,5,45
9897,1022,3/27/2006,9,280
9898,972,6/28/2006,11,187
9899,426,11/28/2006,7,34
9900,1068,7/1/2006,9,184
9901,479,2/5/2006,4,330
9902,812,11/11/2006,8,51
9903,324,8/14/2006,5,140
9904,1334,7/26/2006,13,159
9905,696,6/23/2006,9,192
9906,1073,4/7/2006,9,269
9907,836,5/30/2005,8,581
9908,980,7/22/2006,10,163
9909,1258,11/26/2006,9,36
9910,610,10/4/2005,9,454
9911,1638,6/10/2006,19,205
9912,554,9/22/2006,9,101
9913,1079,9/16/2006,12,107
9914,537,11/4/2006,11,58
9915,629,7/10/2006,9,175
9916,1083,8/11/2006,11,143
9917,1435,8/27/2006,12,127
9918,1076,9/3/2006,11,120
9919,868,3/1/2006,7,306
9920,1860,11/8/2006,15,54
9921,1007,12/21/2006,10,11
9922,741,9/22/2006,8,101
9923,503,5/10/2006,4,236
9924,1510,12/15/2005,15,382
9925,1160,9/29/2006,12,94
9926,914,7/28/2006,12,157
9927,952,8/4/2006,12,150
9928,739,10/2/2006,8,91
9929,611,12/2/2006,9,30
9930,927,8/27/2006,14,127
9931,935,8/10/2006,7,144
9932,1023,11/30/2006,10,32
9933,1074,10/28/2006,10,65
9934,612,10/14/2005,8,444
9935,1013,8/31/2006,11,123
9936,739,9/6/2006,7,117
9937,1002,12/9/2006,12,23
9938,1014,9/6/2005,11,482
9939,887,8/21/2006,7,133
9940,825,7/10/2005,7,540
9941,570,10/29/2006,7,64
9942,1197,12/27/2005,12,370
9943,702,10/22/2005,7,436
9944,487,7/18/2006,6,167
9945,1161,6/22/2006,13,193
9946,810,5/10/2006,8,236
9947,982,8/27/2006,11,127
9948,1290,7/23/2006,14,162
9949,767,9/17/2006,9,106
9950,1311,12/19/2005,13,378
9951,1200,10/10/2006,15,83
9952,738,7/14/2006,9,171
9953,388,8/14/2006,5,140
9954,347,7/8/2005,4,542
9955,1975,9/16/2006,15,107
9956,1104,7/12/2006,8,173
9957,180,2/3/2005,2,697
9958,1441,9/25/2006,11,98
9959,504,9/23/2005,7,465
9960,1622,5/18/2006,14,228
9961,1058,12/1/2006,11,31
9962,507,10/13/2006,6,80
9963,1418,9/23/2006,12,100
9964,620,9/19/2006,10,104
9965,966,8/16/2006,13,138
9966,837,8/21/2006,10,133
9967,1281,12/12/2006,12,20
9968,1621,7/14/2006,11,171
9969,1067,7/19/2006,12,166
9970,758,7/7/2005,5,543
9971,1050,8/18/2006,12,136
9972,626,7/3/2006,8,182
9973,1578,11/19/2006,16,43
9974,1152,5/24/2006,9,222
9975,376,6/1/2006,5,214
9976,748,9/24/2006,6,99
9977,1054,11/12/2005,10,415
9978,987,10/31/2005,12,427
9979,652,1/21/2006,8,345
9980,1006,10/6/2006,10,87
9981,1116,6/7/2006,11,208
9982,807,12/22/2006,8,10
9983,1009,8/5/2006,10,149
9984,978,10/8/2006,12,85
9985,1161,6/3/2006,12,212
9986,917,4/7/2006,9,269
9987,857,7/20/2006,7,165
9988,436,10/4/2005,5,454
9989,900,10/22/2006,7,71
9990,942,7/20/2005,9,530
9991,1016,8/7/2006,13,147
9992,1419,5/8/2006,12,238
9993,1255,12/22/2006,16,10
9994,1963,12/8/2006,20,24
9995,873,7/21/2006,10,164
9996,905,11/14/2005,10,413
9997,842,10/1/2006,8,92
9998,1423,9/8/2006,11,115
9999,1845,12/20/2006,21,12
10000,400,11/10/2006,6,52
10001,1487,3/3/2006,14,304
10002,560,9/23/2006,6,100
10003,732,7/11/2006,10,174
10004,1214,12/3/2005,14,394
10005,800,4/2/2006,8,274
10006,1047,1/12/2006,9,354
10007,633,12/3/2005,8,394
10008,699,4/5/2006,9,271
10009,625,10/2/2006,7,91
10010,1375,8/15/2006,15,139
10011,1008,10/12/2006,11,81
10012,860,5/13/2006,8,233
10013,402,6/29/2006,7,186
10014,916,9/20/2006,9,103
10015,1180,11/13/2006,10,49
10016,1054,9/30/2006,10,93
10017,907,7/27/2006,9,158
10018,1012,8/2/2006,11,152
10019,783,7/20/2006,10,165
10020,1205,1/17/2006,12,349
10021,1045,11/3/2005,8,424
10022,1575,6/14/2006,13,201
10023,770,5/3/2006,10,243
10024,1398,6/30/2006,15,185
10025,1166,8/1/2006,13,153
10026,687,12/7/2006,8,25
10027,652,9/6/2006,9,117
10028,646,7/1/2005,6,549
10029,969,8/30/2006,12,124
10030,980,5/11/2006,10,235
10031,856,9/9/2006,12,114
10032,795,2/13/2006,11,322
10033,357,12/21/2005,5,376
10034,636,12/12/2006,7,20
10035,595,10/25/2006,8,68
10036,891,9/4/2006,9,119
10037,1131,11/2/2005,9,425
10038,388,9/14/2005,4,474
10039,104,2/13/2006,2,322
10040,583,11/28/2005,7,399
10041,1128,10/30/2005,9,428
10042,527,10/1/2006,9,92
10043,397,10/19/2005,5,439
10044,646,7/5/2006,7,180
10045,217,10/8/2005,5,450
10046,1167,9/28/2006,11,95
10047,569,7/22/2006,8,163
10048,446,8/3/2006,7,151
10049,801,2/17/2006,7,318
10050,659,6/15/2006,7,200
10051,561,11/6/2005,7,421
10052,543,1/23/2006,7,343
10053,767,8/22/2006,7,132
10054,1236,9/12/2006,12,111
10055,1169,9/27/2006,11,96
10056,1052,3/26/2006,10,281
10057,1157,11/2/2006,10,60
10058,664,11/16/2006,5,46
10059,1314,11/25/2006,14,37
10060,1466,6/28/2006,13,187
10061,548,11/28/2006,6,34
10062,435,7/1/2005,5,549
10063,1105,10/30/2006,11,63
10064,1083,7/16/2006,11,169
10065,1031,8/13/2006,12,141
10066,1711,7/24/2006,14,161
10067,578,4/1/2006,7,275
10068,747,8/7/2006,6,147
10069,1437,8/18/2006,14,136
10070,767,8/7/2006,10,147
10071,573,8/10/2005,6,509
10072,1259,10/8/2006,13,85
10073,1011,9/28/2006,8,95
10074,202,9/9/2005,2,479
10075,750,7/15/2006,9,170
10076,386,6/26/2006,6,189
10077,935,1/7/2006,9,359
10078,990,6/9/2006,9,206
10079,732,5/3/2006,8,243
10080,816,5/23/2006,9,223
10081,639,10/3/2006,9,90
10082,1447,7/14/2006,11,171
10083,609,6/9/2006,6,206
10084,1303,9/29/2006,13,94
10085,753,7/30/2006,9,155
10086,721,12/2/2006,12,30
10087,1137,6/23/2006,15,192
10088,857,8/21/2006,11,133
10089,884,9/5/2006,12,118
10090,915,10/8/2006,9,85
10091,768,10/5/2006,7,88
10092,766,12/6/2006,6,26
10093,1037,1/11/2006,12,355
10094,584,9/20/2005,7,468
10095,444,7/30/2006,9,155
10096,759,7/31/2006,9,154
10097,630,6/13/2005,6,567
10098,948,10/4/2006,10,89
10099,1048,7/19/2006,9,166
10100,914,11/14/2006,11,48
10101,1354,11/21/2005,14,406
10102,590,4/26/2006,9,250
10103,993,7/31/2006,9,154
10104,1158,4/25/2006,12,251
10105,580,11/5/2005,6,422
10106,1196,11/7/2005,11,420
10107,751,1/27/2006,8,339
10108,896,10/12/2006,10,81
10109,1873,11/10/2006,19,52
10110,482,5/10/2006,8,236
10111,730,11/17/2006,9,45
10112,861,12/28/2005,10,369
10113,1054,10/14/2006,8,79
10114,230,8/26/2006,5,128
10115,736,5/14/2006,9,232
10116,883,12/2/2006,10,30
10117,1053,10/20/2006,10,73
10118,553,3/16/2006,6,291
10119,746,10/5/2006,11,88
10120,745,9/26/2006,9,97
10121,732,9/26/2005,5,462
10122,1331,8/27/2006,12,127
10123,1238,11/19/2006,14,43
10124,1317,8/26/2006,10,128
10125,1235,9/13/2006,15,110
10126,1165,8/5/2006,14,149
10127,809,10/8/2006,9,85
10128,933,9/22/2006,10,101
10129,575,4/18/2006,9,258
10130,524,8/21/2006,5,133
10131,1226,8/12/2006,14,142
10132,251,5/28/2005,3,583
10133,725,7/21/2006,10,164
10134,1250,12/13/2006,12,19
10135,954,9/10/2006,10,113
10136,874,7/21/2006,7,164
10137,1091,5/30/2006,10,216
10138,1267,11/12/2006,15,50
10139,644,7/24/2006,6,161
10140,1518,6/3/2006,14,212
10141,466,11/11/2006,7,51
10142,918,11/26/2006,11,36
10143,1198,8/1/2006,13,153
10144,665,11/8/2006,11,54
10145,1075,12/21/2005,11,376
10146,1228,10/4/2005,16,454
10147,688,8/30/2006,7,124
10148,1389,8/7/2006,16,147
10149,543,5/15/2006,8,231
10150,1179,11/28/2006,10,34
10151,519,7/3/2005,5,547
10152,1251,12/9/2006,13,23
10153,1908,11/27/2006,17,35
10154,1380,7/26/2006,14,159
10155,535,3/5/2006,6,302
10156,799,11/24/2006,9,38
10157,911,1/23/2006,7,343
10158,719,8/9/2006,8,145
10159,1218,10/27/2006,13,66
10160,674,4/7/2006,8,269
10161,911,10/25/2006,9,68
10162,886,8/30/2005,9,489
10163,1499,1/6/2006,16,360
10164,999,1/24/2006,12,342
10165,529,8/26/2005,5,493
10166,1004,10/14/2006,12,79
10167,894,4/18/2006,9,258
10168,271,5/20/2006,6,226
10169,1139,12/5/2006,14,27
10170,1066,7/21/2006,8,164
10171,451,10/25/2005,7,433
10172,1176,4/20/2006,10,256
10173,419,5/18/2006,4,228
10174,888,9/22/2006,9,101
10175,1104,11/17/2006,13,45
10176,370,7/20/2006,5,165
10177,1100,5/22/2006,10,224
10178,1092,12/26/2005,11,371
10179,610,7/31/2006,7,154
10180,829,8/25/2006,11,129
10181,838,11/20/2005,9,407
10182,557,10/5/2006,6,88
10183,800,4/30/2006,11,246
10184,1258,10/21/2006,11,72
10185,1162,4/22/2006,9,254
10186,925,10/28/2006,13,65
10187,453,12/26/2005,6,371
10188,825,10/12/2006,8,81
10189,773,7/12/2006,8,173
10190,948,10/17/2006,11,76
10191,831,6/18/2006,7,197
10192,1186,10/26/2006,13,67
10193,740,12/27/2006,7,5
10194,729,11/23/2005,9,404
10195,546,11/17/2005,6,410
10196,1077,2/9/2006,10,326
10197,1374,9/29/2006,12,94
10198,534,10/20/2006,7,73
10199,1153,11/7/2006,9,55
10200,618,10/3/2006,6,90
10201,715,8/10/2006,8,144
10202,1296,8/25/2006,13,129
10203,1366,11/14/2006,16,48
10204,1076,9/15/2006,9,108
10205,775,7/31/2006,9,154
10206,388,4/19/2006,3,257
10207,1199,8/22/2006,10,132
10208,717,6/5/2006,9,210
10209,366,3/5/2006,5,302
10210,470,2/24/2006,7,311
10211,2290,7/8/2006,21,177
10212,635,4/6/2006,6,270
10213,1003,11/9/2006,9,53
10214,795,7/23/2006,8,162
10215,902,8/15/2006,9,139
10216,1790,4/25/2006,12,251
10217,871,6/4/2006,11,211
10218,982,8/1/2006,10,153
10219,872,10/22/2006,13,71
10220,1247,10/27/2006,13,66
10221,385,7/7/2006,8,178
10222,370,1/21/2005,6,710
10223,627,10/3/2006,6,90
10224,844,9/22/2006,9,101
10225,553,4/16/2006,7,260
10226,1086,6/28/2006,10,187
10227,1008,5/18/2006,16,228
10228,1481,8/15/2006,10,139
10229,758,10/11/2005,9,447
10230,822,4/29/2006,7,247
10231,1125,7/11/2006,12,174
10232,835,6/9/2006,12,206
10233,734,10/4/2006,9,89
10234,1345,11/16/2006,12,46
10235,656,10/26/2005,8,432
10236,746,3/21/2006,7,286
10237,928,7/2/2006,8,183
10238,974,7/25/2006,10,160
10239,541,6/27/2006,8,188
10240,635,5/14/2006,6,232
10241,935,8/10/2005,9,509
10242,1223,8/3/2006,11,151
10243,1190,8/21/2006,11,133
10244,756,9/17/2006,7,106
10245,924,8/6/2006,10,148
10246,800,2/22/2006,8,313
10247,409,8/9/2005,6,510
10248,1277,4/14/2006,12,262
10249,914,4/12/2006,8,264
10250,787,8/15/2006,7,139
10251,993,1/21/2006,10,345
10252,565,11/1/2006,8,61
10253,220,5/21/2006,4,225
10254,1771,9/20/2006,16,103
10255,1065,1/16/2006,9,350
10256,1008,5/15/2006,10,231
10257,881,7/26/2006,11,159
10258,1596,9/25/2006,11,98
10259,1369,11/1/2006,13,61
10260,678,9/28/2006,6,95
10261,773,7/29/2006,9,156
10262,467,7/4/2005,7,546
10263,505,7/16/2006,10,169
10264,531,9/2/2006,6,121
10265,203,5/12/2006,3,234
10266,582,9/9/2005,7,479
10267,746,9/9/2006,9,114
10268,1065,8/6/2006,12,148
10269,1394,12/18/2006,11,14
10270,933,9/17/2006,11,106
10271,1612,9/7/2006,18,116
10272,827,10/24/2006,7,69
10273,1099,7/8/2006,11,177
10274,1156,8/26/2006,11,128
10275,1234,11/13/2006,15,49
10276,1168,10/22/2006,12,71
10277,1319,10/30/2006,14,63
10278,925,8/9/2006,10,145
10279,1510,9/3/2006,12,120
10280,1811,8/22/2006,15,132
10281,441,6/25/2006,6,190
10282,226,10/28/2005,3,430
10283,593,7/17/2005,6,533
10284,805,8/3/2005,6,516
10285,1023,8/30/2006,10,124
10286,1175,5/9/2006,12,237
10287,624,7/21/2006,5,164
10288,1427,5/24/2006,12,222
10289,568,6/13/2006,6,202
10290,814,9/29/2006,7,94
10291,532,6/22/2006,7,193
10292,671,9/30/2006,7,93
10293,1305,9/14/2006,10,109
10294,859,6/20/2006,10,195
10295,608,2/9/2006,6,326
10296,1479,12/20/2006,12,12
10297,941,8/13/2006,14,141
10298,711,6/12/2006,7,203
10299,1395,10/15/2006,11,78
10300,650,6/25/2005,6,555
10301,1385,11/2/2006,15,60
10302,1395,10/23/2006,16,70
10303,1093,11/21/2006,14,41
10304,1152,10/24/2005,11,434
10305,445,6/25/2006,6,190
10306,895,8/31/2006,9,123
10307,1061,11/12/2005,11,415
10308,681,9/6/2005,10,482
10309,804,10/5/2006,10,88
10310,633,9/27/2005,9,461
10311,881,7/26/2006,7,159
10312,736,7/16/2006,8,169
10313,677,8/11/2005,7,508
10314,1081,9/4/2006,12,119
10315,683,6/13/2006,6,202
10316,924,8/30/2006,9,124
10317,617,4/16/2006,7,260
10318,880,10/13/2006,6,80
10319,1314,7/1/2006,10,184
10320,848,11/23/2006,9,39
10321,924,8/9/2006,12,145
10322,416,7/8/2006,6,177
10323,543,9/11/2006,5,112
10324,931,3/10/2006,9,297
10325,489,1/3/2006,6,363
10326,821,9/22/2006,9,101
10327,672,9/2/2006,8,121
10328,1192,6/3/2006,10,212
10329,1113,11/4/2006,14,58
10330,992,10/24/2006,11,69
10331,1252,5/24/2006,14,222
10332,1184,12/10/2005,9,387
10333,1191,8/15/2006,12,139
10334,867,7/1/2006,9,184
10335,915,7/30/2006,6,155
10336,1597,6/24/2006,13,191
10337,754,9/18/2006,10,105
10338,590,10/20/2006,8,73
10339,897,8/30/2005,6,489
10340,761,12/3/2006,8,29
10341,648,1/8/2006,5,358
10342,1265,8/1/2005,10,518
10343,1324,5/11/2006,12,235
10344,1046,6/11/2006,9,204
10345,600,8/5/2005,7,514
10346,1088,9/29/2006,13,94
10347,1148,9/24/2006,12,99
10348,694,8/19/2006,9,135
10349,624,4/17/2006,7,259
10350,1472,12/5/2005,11,392
10351,676,4/23/2006,9,253
10352,949,3/29/2006,14,278
10353,798,11/22/2005,9,405
10354,646,4/28/2006,6,248
10355,852,12/13/2005,8,384
10356,781,10/14/2006,10,79
10357,296,3/25/2005,5,647
10358,1184,8/28/2006,14,126
10359,333,11/21/2005,3,406
10360,652,8/27/2006,6,127
10361,824,8/21/2006,7,133
10362,650,6/18/2006,8,197
10363,1034,9/4/2006,10,119
10364,683,12/8/2006,5,24
10365,611,7/29/2006,5,156
10366,612,12/18/2005,5,379
10367,966,9/17/2006,11,106
10368,540,1/3/2006,7,363
10369,602,11/15/2006,7,47
10370,1604,5/23/2006,16,223
10371,524,8/29/2006,10,125
10372,505,5/11/2006,8,235
10373,1163,7/1/2006,12,184
10374,1036,6/22/2006,9,193
10375,1162,8/22/2006,12,132
10376,951,10/27/2006,10,66
10377,522,9/3/2006,6,120
10378,900,11/20/2005,10,407
10379,605,6/13/2006,7,202
10380,552,11/6/2006,11,56
10381,1180,11/9/2006,12,53
10382,1035,7/10/2006,10,175
10383,367,9/16/2006,5,107
10384,818,9/28/2006,11,95
10385,753,9/30/2006,7,93
10386,1193,5/12/2006,11,234
10387,978,8/5/2006,11,149
10388,1319,8/4/2006,17,150
10389,914,11/19/2006,7,43
10390,1179,2/23/2006,12,312
10391,633,5/28/2006,6,218
10392,818,7/21/2006,11,164
10393,792,9/2/2006,10,121
10394,1307,9/11/2006,15,112
10395,517,8/13/2006,7,141
10396,1225,9/16/2006,13,107
10397,1086,10/12/2006,15,81
10398,449,8/12/2006,5,142
10399,641,4/23/2006,4,253
10400,851,10/14/2006,12,79
10401,796,9/6/2006,9,117
10402,1330,9/11/2006,14,112
10403,847,6/10/2006,10,205
10404,830,10/7/2006,12,86
10405,770,12/23/2006,10,9
10406,1604,3/31/2006,15,276
10407,1509,9/30/2006,15,93
10408,762,8/26/2006,9,128
10409,594,10/21/2006,7,72
10410,1399,9/6/2006,16,117
10411,1283,12/2/2006,14,30
10412,1283,11/5/2006,14,57
10413,933,8/30/2006,11,124
10414,707,11/19/2006,9,43
10415,549,5/2/2006,6,244
10416,683,6/30/2005,9,550
10417,820,8/10/2006,10,144
10418,801,3/8/2006,12,299
10419,943,4/6/2006,11,270
10420,1167,12/23/2006,11,9
10421,447,8/30/2006,6,124
10422,1128,5/30/2006,8,216
10423,600,10/18/2006,8,75
10424,1004,8/21/2006,11,133
10425,483,7/25/2006,9,160
10426,822,10/6/2006,9,87
10427,578,8/24/2005,7,495
10428,1363,9/4/2006,16,119
10429,869,11/1/2006,10,61
10430,1573,7/1/2006,15,184
10431,1291,8/26/2006,12,128
10432,1106,6/11/2006,11,204
10433,842,7/22/2005,7,528
10434,1027,8/5/2006,11,149
10435,960,9/14/2006,13,109
10436,606,9/17/2006,7,106
10437,966,11/1/2005,9,426
10438,1115,10/12/2006,10,81
10439,1017,12/10/2005,9,387
10440,953,7/24/2006,8,161
10441,1177,10/22/2006,11,71
10442,900,9/12/2006,12,111
10443,1047,6/25/2006,9,190
10444,1302,8/19/2006,15,135
10445,1396,7/1/2006,11,184
10446,523,8/16/2006,9,138
10447,865,11/13/2006,8,49
10448,262,9/3/2006,5,120
10449,1268,1/12/2006,12,354
10450,1568,10/13/2006,18,80
10451,1460,10/14/2006,13,79
10452,822,7/7/2006,10,178
10453,1115,7/18/2006,10,167
10454,434,7/21/2006,5,164
10455,986,7/27/2006,9,158
10456,509,7/8/2006,4,177
10457,1005,6/29/2006,8,186
10458,1286,7/2/2006,12,183
10459,918,9/3/2006,9,120
10460,707,9/29/2006,7,94
10461,596,8/15/2006,8,139
10462,1190,12/2/2006,8,30
10463,1057,7/12/2006,11,173
10464,847,7/28/2006,10,157
10465,783,9/22/2006,6,101
10466,701,6/8/2006,7,207
10467,575,8/22/2006,10,132
10468,742,8/22/2006,11,132
10469,1431,9/27/2006,11,96
10470,560,10/27/2005,7,431
10471,796,11/5/2006,9,57
10472,862,12/5/2006,9,27
10473,1293,10/24/2006,12,69
10474,1327,9/15/2006,13,108
10475,1118,11/10/2006,13,52
10476,732,11/20/2005,11,407
10477,804,10/5/2006,7,88
10478,850,8/29/2006,8,125
10479,878,6/16/2006,8,199
10480,833,8/1/2006,9,153
10481,1218,11/13/2006,13,49
10482,863,1/4/2006,10,362
10483,761,4/27/2006,10,249
10484,626,8/3/2006,8,151
10485,776,10/7/2005,8,451
10486,1317,6/24/2006,13,191
10487,892,12/13/2006,10,19
10488,1585,7/11/2006,16,174
10489,615,10/10/2006,7,83
10490,829,7/19/2006,8,166
10491,424,11/4/2005,6,423
10492,1421,7/10/2006,13,175
10493,1205,8/15/2006,12,139
10494,1142,9/13/2006,11,110
10495,887,4/21/2006,7,255
10496,560,11/30/2006,4,32
10497,383,8/30/2006,6,124
10498,1393,8/9/2006,17,145
10499,277,7/1/2005,4,549
10500,762,3/16/2006,9,291
10501,457,2/6/2006,8,329
10502,1311,11/5/2006,14,57
10503,643,8/18/2005,6,501
10504,767,9/18/2006,9,105
10505,1156,8/27/2006,12,127
10506,869,9/3/2006,8,120
10507,943,5/24/2006,10,222
10508,1252,9/25/2006,11,98
10509,1348,8/22/2006,12,132
10510,984,4/19/2006,13,257
10511,577,4/2/2006,6,274
10512,940,8/8/2006,8,146
10513,514,7/29/2006,5,156
10514,1378,11/29/2006,12,33
10515,622,12/18/2006,7,14
10516,1179,8/9/2006,14,145
10517,1141,5/28/2006,10,218
10518,1409,7/1/2006,13,184
10519,696,1/4/2006,7,362
10520,795,8/28/2006,8,126
10521,729,6/24/2006,6,191
10522,910,11/2/2006,8,60
10523,854,8/30/2006,11,124
10524,1338,4/7/2006,13,269
10525,384,12/18/2006,7,14
10526,1262,9/4/2006,13,119
10527,438,12/30/2006,9,2
10528,979,11/26/2006,9,36
10529,1722,7/8/2006,17,177
10530,1222,4/26/2006,9,250
10531,1177,12/21/2006,14,11
10532,911,9/16/2006,12,107
10533,669,7/31/2006,8,154
10534,415,8/1/2006,5,153
10535,1092,4/23/2006,9,253
10536,781,9/8/2006,12,115
10537,391,6/13/2006,4,202
10538,653,4/26/2006,7,250
10539,355,7/10/2006,5,175
10540,1130,8/30/2006,9,124
10541,254,12/25/2005,2,372
10542,1589,11/1/2006,15,61
10543,858,7/15/2006,9,170
10544,535,11/14/2005,5,413
10545,883,5/6/2006,7,240
10546,495,7/15/2006,5,170
10547,1113,10/22/2006,14,71
10548,901,12/3/2006,7,29
10549,1308,9/22/2006,10,101
10550,733,6/23/2006,8,192
10551,1644,10/16/2006,14,77
10552,583,2/7/2006,6,328
10553,1232,8/27/2006,13,127
10554,443,10/9/2005,6,449
10555,1418,11/11/2006,12,51
10556,306,7/1/2006,5,184
10557,1947,12/11/2006,15,21
10558,1202,7/11/2006,14,174
10559,926,9/8/2006,8,115
10560,1532,10/5/2006,12,88
10561,703,11/1/2006,8,61
10562,711,12/4/2006,10,28
10563,1097,9/7/2006,14,116
10564,1355,7/9/2006,13,176
10565,898,5/9/2006,10,237
10566,868,2/13/2006,8,322
10567,672,8/1/2006,12,153
10568,1040,11/19/2006,11,43
10569,320,1/7/2006,8,359
10570,537,1/25/2005,6,706
10571,880,8/1/2006,8,153
10572,877,10/14/2006,10,79
10573,739,12/3/2006,8,29
10574,1278,10/21/2006,11,72
10575,1328,11/7/2006,12,55
10576,719,11/16/2006,10,46
10577,866,7/18/2006,11,167
10578,1426,10/17/2006,16,76
10579,709,8/20/2006,11,134
10580,1106,4/27/2006,12,249
10581,757,7/7/2006,11,178
10582,204,1/13/2006,4,353
10583,1291,9/15/2006,14,108
10584,1209,6/14/2006,10,201
10585,511,10/22/2005,8,436
10586,810,5/26/2006,9,220
10587,521,7/28/2006,7,157
10588,1223,9/11/2006,12,112
10589,1314,11/2/2006,12,60
10590,1207,12/13/2006,11,19
10591,714,9/22/2006,4,101
10592,838,7/16/2006,9,169
10593,1577,10/30/2005,16,428
10594,1077,6/16/2006,12,199
10595,1101,8/1/2006,10,153
10596,847,11/8/2006,8,54
10597,950,10/22/2006,8,71
10598,574,2/1/2006,8,334
10599,1024,6/14/2006,10,201
10600,1208,5/26/2006,13,220
10601,803,8/20/2006,7,134
10602,1327,6/17/2006,11,198
10603,900,11/15/2006,10,47
10604,971,5/8/2006,9,238
10605,1206,11/10/2006,13,52
10606,819,7/6/2006,6,179
10607,693,6/2/2006,9,213
10608,788,8/24/2006,9,130
10609,812,5/15/2006,8,231
10610,1458,11/29/2006,12,33
10611,627,8/30/2006,4,124
10612,942,12/18/2005,10,379
10613,1268,7/23/2006,13,162
10614,1018,6/16/2006,9,199
10615,734,9/26/2006,11,97
10616,1130,9/3/2006,11,120
10617,1246,8/25/2006,14,129
10618,956,6/5/2006,11,210
10619,465,5/1/2006,5,245
10620,780,5/5/2006,8,241
10621,760,12/19/2006,8,13
10622,669,11/16/2005,7,411
10623,762,11/17/2005,7,410
10624,1325,10/5/2006,12,88
10625,680,9/4/2006,7,119
10626,981,8/12/2005,7,507
10627,639,11/5/2006,6,57
10628,875,11/26/2006,10,36
10629,823,8/5/2006,8,149
10630,922,6/28/2006,11,187
10631,1304,6/2/2006,10,213
10632,903,11/5/2006,9,57
10633,1285,6/28/2006,12,187
10634,794,8/10/2006,10,144
10635,647,11/19/2005,6,408
10636,841,5/11/2006,9,235
10637,1671,7/15/2006,17,170
10638,1375,7/25/2006,14,160
10639,1259,1/16/2006,11,350
10640,977,7/11/2006,9,174
10641,322,10/27/2006,6,66
10642,700,9/23/2006,7,100
10643,860,7/21/2006,7,164
10644,1052,11/4/2006,11,58
10645,933,10/10/2005,10,448
10646,1166,12/27/2006,11,5
10647,1449,11/22/2006,14,40
10648,830,8/29/2006,9,125
10649,735,7/19/2006,10,166
10650,942,11/17/2006,9,45
10651,741,12/29/2006,11,3
10652,1466,8/22/2006,15,132
10653,792,12/2/2005,7,395
10654,844,11/18/2005,8,409
10655,887,11/16/2006,9,46
10656,960,3/31/2006,9,276
10657,1442,1/27/2006,14,339
10658,1140,10/17/2006,13,76
10659,473,5/31/2006,7,215
10660,855,10/31/2006,11,62
10661,337,8/24/2006,5,130
10662,866,9/7/2006,10,116
10663,1229,7/13/2006,14,172
10664,698,9/18/2005,7,470
10665,1853,5/29/2006,15,217
10666,1835,8/28/2006,16,126
10667,654,10/23/2006,8,70
10668,287,1/25/2005,3,706
10669,1493,9/3/2006,14,120
10670,1016,10/26/2006,12,67
10671,793,9/8/2006,9,115
10672,1094,5/16/2006,12,230
10673,1396,7/24/2006,15,161
10674,446,12/8/2006,5,24
10675,477,9/11/2005,6,477
10676,650,9/23/2006,9,100
10677,861,10/31/2005,9,427
10678,1114,9/9/2006,13,114
10679,1554,12/2/2005,12,395
